,index,algo,cell,dset,measure,rel value,split,value
360,8,stm,8.0,1,corr,,train,0.4019296617504127
361,9,stm,9.0,1,corr,,train,0.3654653174957208
362,10,stm,10.0,1,corr,,train,0.3142866265028561
363,0,chenkov,0.0,1,corr,0.06627043677248512,train,0.5767043879301953
364,1,chenkov,1.0,1,corr,0.034450987186422866,train,0.455987879647244
365,2,chenkov,2.0,1,corr,0.04785141706126639,train,0.5101868675400759
366,3,chenkov,3.0,1,corr,0.07167724232808959,train,0.49543123201620703
367,4,chenkov,4.0,1,corr,0.05686368665079189,train,0.5762908052949091
368,5,chenkov,5.0,1,corr,0.040082991944568325,train,0.5460292821015774
369,6,chenkov,6.0,1,corr,0.03888810876220816,train,0.5365779856547265
370,7,chenkov,7.0,1,corr,0.04976404239235599,train,0.5756836438345042
371,8,chenkov,8.0,1,corr,0.08222091287085848,train,0.4841505746212712
372,9,chenkov,9.0,1,corr,0.06263549438023752,train,0.42810081187595833
373,10,chenkov,10.0,1,corr,0.08200744042239971,train,0.3962940669252558
374,0,deneux,0.0,1,corr,0.08308366199838002,train,0.5935176131560902
375,1,deneux,1.0,1,corr,0.06128637569217804,train,0.4828232681529992
376,2,deneux,2.0,1,corr,0.06783678154618134,train,0.5301722320249909
377,3,deneux,3.0,1,corr,0.09216560294186354,train,0.515919592629981
378,4,deneux,4.0,1,corr,0.05047743111267533,train,0.5699045497567925
379,5,deneux,5.0,1,corr,0.055610134004588474,train,0.5615564241615976
380,6,deneux,6.0,1,corr,0.025288310974221462,train,0.5229781878667398
381,7,deneux,7.0,1,corr,0.04798279075042566,train,0.5739023921925739
382,8,deneux,8.0,1,corr,0.08923142759593317,train,0.4911610893463459
383,9,deneux,9.0,1,corr,0.0336642198313436,train,0.3991295373270644
384,10,deneux,10.0,1,corr,0.08930715233900999,train,0.4035937788418661
385,0,friedrich,0.0,1,corr,0.050795622432405985,train,0.5612295735901162
386,1,friedrich,1.0,1,corr,0.021589085951820075,train,0.44312597841264123
387,2,friedrich,2.0,1,corr,0.030753786695759955,train,0.4930892371745695
388,3,friedrich,3.0,1,corr,0.07532057739985176,train,0.4990745670879692
389,4,friedrich,4.0,1,corr,0.05552293217190951,train,0.5749500508160267
390,5,friedrich,5.0,1,corr,0.049378993280355554,train,0.5553252834373646
391,6,friedrich,6.0,1,corr,0.04520539345037489,train,0.5428952703428932
392,7,friedrich,7.0,1,corr,0.041530683364639054,train,0.5674502848067873
393,8,friedrich,8.0,1,corr,0.07614633895619255,train,0.4780760007066053
394,9,friedrich,9.0,1,corr,0.029808594886304385,train,0.3952739123820252
395,10,friedrich,10.0,1,corr,0.0765498896558775,train,0.3908365161587336
396,0,machado,0.0,1,corr,0.02493654011312485,train,0.535370491270835
397,1,machado,1.0,1,corr,0.002026497081523526,train,0.4235633895423447
398,2,machado,2.0,1,corr,-0.027006335177348295,train,0.43532911530146123
399,3,machado,3.0,1,corr,0.06586990610921228,train,0.48962389579732973
400,4,machado,4.0,1,corr,0.042550928158264445,train,0.5619780468023816
401,5,machado,5.0,1,corr,0.034727270647963326,train,0.5406735608049724
402,6,machado,6.0,1,corr,0.028617647058699514,train,0.5263075239512178
403,7,machado,7.0,1,corr,0.02690441151657763,train,0.5528240129587259
404,8,machado,8.0,1,corr,0.053709820736334624,train,0.45563948248674735
405,9,machado,9.0,1,corr,-0.008629390309223939,train,0.35683592718649687
406,10,machado,10.0,1,corr,0.03978841428443014,train,0.35407504078728624
407,0,mineault,0.0,1,corr,0.11959483865749587,train,0.630028789815206
408,1,mineault,1.0,1,corr,0.055257135377767,train,0.47679402783858815
409,2,mineault,2.0,1,corr,0.17500822167049745,train,0.637343672149307
410,3,mineault,3.0,1,corr,0.11123260466649193,train,0.5349865943546094
411,4,mineault,4.0,1,corr,0.08579815350603215,train,0.6052252721501493
412,5,mineault,5.0,1,corr,0.08614320363152983,train,0.5920894937885389
413,6,mineault,6.0,1,corr,0.135145861239222,train,0.6328357381317403
414,7,mineault,7.0,1,corr,0.07682342997935987,train,0.6027430314215081
415,8,mineault,8.0,1,corr,0.10673391593787723,train,0.50866357768829
416,9,mineault,9.0,1,corr,0.05994881842645816,train,0.42541413592217897
417,10,mineault,10.0,1,corr,0.1218692370866743,train,0.4361558635895304
418,0,pachitariu,0.0,1,corr,0.022578698748339066,train,0.5330126499060492
419,1,pachitariu,1.0,1,corr,-0.032509005283132775,train,0.3890278871776884
